source_text,question,answer,embedding_text
"{'text': 'Renewable agriculture practices aim to sustain food production while protecting the environment. Techniques include crop rotation, organic farming, and soil conservation.'}",What is the focus of organic farming in renewable agriculture?,Organic farming focuses on using natural methods to grow crops without synthetic chemicals.,What is the focus of organic farming in renewable agriculture?
"{'text': 'Renewable agriculture practices aim to sustain food production while protecting the environment. Techniques include crop rotation, organic farming, and soil conservation.'}",How does soil conservation play a role in renewable agriculture?,"Soil conservation helps maintain soil health and prevent erosion, ensuring long-term productivity.",How does soil conservation play a role in renewable agriculture?
"{'text': 'Mental health is essential for overall well-being. Conditions like anxiety and depression can be treated through therapy, medication, and community support.'}",What are some of the conditions that can affect mental health?,Anxiety and depression,What are some of the conditions that can affect mental health?
"{'text': 'Mental health is essential for overall well-being. Conditions like anxiety and depression can be treated through therapy, medication, and community support.'}",What are the primary methods mentioned for treating these conditions?,"Therapy, medication, and community support",What are the primary methods mentioned for treating these conditions?
"{'text': 'Mental health is essential for overall well-being. Conditions like anxiety and depression can be treated through therapy, medication, and community support.'}",How does mental health contribute to overall well-being?,It is essential for overall well-being,How does mental health contribute to overall well-being?
"{'text': 'Mental health is essential for overall well-being. Conditions like anxiety and depression can be treated through therapy, medication, and community support.'}",What role does community support play in mental health treatment?,It is one of the methods mentioned for treating mental health conditions,What role does community support play in mental health treatment?
"{'text': 'Mental health is essential for overall well-being. Conditions like anxiety and depression can be treated through therapy, medication, and community support.'}",Are there any alternative treatments mentioned for mental health conditions?,"No, only therapy, medication, and community support are mentioned",Are there any alternative treatments mentioned for mental health conditions?
"{'text': 'Electricity is the flow of electric charge and is essential to modern life. It powers homes, industries, and technologies. Renewable sources are transforming electricity generation.'}",What is the primary definition of electricity according to the text?,The flow of electric charge.,What is the primary definition of electricity according to the text?
"{'text': 'Electricity is the flow of electric charge and is essential to modern life. It powers homes, industries, and technologies. Renewable sources are transforming electricity generation.'}",What is one of the key roles electricity plays in our lives?,Powering homes.,What is one of the key roles electricity plays in our lives?
"{'text': 'Electricity is the flow of electric charge and is essential to modern life. It powers homes, industries, and technologies. Renewable sources are transforming electricity generation.'}",What other sectors does electricity support besides homes?,Industries and technologies.,What other sectors does electricity support besides homes?
"{'text': 'Electricity is the flow of electric charge and is essential to modern life. It powers homes, industries, and technologies. Renewable sources are transforming electricity generation.'}","What is the current trend in electricity generation, as mentioned in the text?",Renewable sources are transforming electricity generation.,"What is the current trend in electricity generation, as mentioned in the text?"
"{'text': 'Electricity is the flow of electric charge and is essential to modern life. It powers homes, industries, and technologies. Renewable sources are transforming electricity generation.'}",What does this transformation imply about the future of electricity generation?,It suggests a shift towards more sustainable sources.,What does this transformation imply about the future of electricity generation?
"{'text': 'Augmented reality (AR) overlays digital information onto the real world. It is used in gaming, education, and retail. AR enhances user interaction with digital content.'}",What is Augmented Reality (AR)?,AR is a technology that overlays digital information onto the real world.,What is Augmented Reality (AR)?
"{'text': 'Augmented reality (AR) overlays digital information onto the real world. It is used in gaming, education, and retail. AR enhances user interaction with digital content.'}",What are some common use cases of AR?,"AR is commonly used in gaming, education, and retail.",What are some common use cases of AR?
"{'text': 'Augmented reality (AR) overlays digital information onto the real world. It is used in gaming, education, and retail. AR enhances user interaction with digital content.'}",How does AR enhance user interaction with digital content?,AR enhances user interaction by overlaying digital information onto the real world.,How does AR enhance user interaction with digital content?
"{'text': 'Augmented reality (AR) overlays digital information onto the real world. It is used in gaming, education, and retail. AR enhances user interaction with digital content.'}",What kind of digital information can AR overlay?,"AR can overlay various types of digital information, such as images, text, or 3D models.",What kind of digital information can AR overlay?
"{'text': 'Augmented reality (AR) overlays digital information onto the real world. It is used in gaming, education, and retail. AR enhances user interaction with digital content.'}",How does AR differ from Virtual Reality (VR)?,"While VR immerses users in a completely digital environment, AR overlays digital information onto the real world.",How does AR differ from Virtual Reality (VR)?
"{'text': 'Universal basic income (UBI) is a proposed economic policy that provides regular, unconditional payments to all citizens. It aims to reduce poverty and provide financial security.'}",What is the primary goal of Universal Basic Income (UBI)?,To reduce poverty and provide financial security.,What is the primary goal of Universal Basic Income (UBI)?
"{'text': 'Universal basic income (UBI) is a proposed economic policy that provides regular, unconditional payments to all citizens. It aims to reduce poverty and provide financial security.'}",Who are the intended recipients of UBI?,All citizens.,Who are the intended recipients of UBI?
"{'text': 'Universal basic income (UBI) is a proposed economic policy that provides regular, unconditional payments to all citizens. It aims to reduce poverty and provide financial security.'}",What is the frequency of payments under UBI?,"Regular, unconditional payments.",What is the frequency of payments under UBI?
"{'text': 'Universal basic income (UBI) is a proposed economic policy that provides regular, unconditional payments to all citizens. It aims to reduce poverty and provide financial security.'}",What does 'unconditional' mean in the context of UBI?,Payments are made without any conditions or requirements.,What does 'unconditional' mean in the context of UBI?
"{'text': 'Universal basic income (UBI) is a proposed economic policy that provides regular, unconditional payments to all citizens. It aims to reduce poverty and provide financial security.'}",What economic policy is UBI proposing?,A proposed economic policy.,What economic policy is UBI proposing?
{'text': 'Volcanoes form when magma from beneath the Earth’s crust erupts to the surface. They shape landscapes and influence climate. Monitoring helps mitigate hazards.'},What causes volcanoes to form?,Magma from beneath the Earth’s crust erupts to the surface.,What causes volcanoes to form?
{'text': 'Volcanoes form when magma from beneath the Earth’s crust erupts to the surface. They shape landscapes and influence climate. Monitoring helps mitigate hazards.'},How do volcanoes affect the environment?,They shape landscapes and influence climate.,How do volcanoes affect the environment?
{'text': 'Volcanoes form when magma from beneath the Earth’s crust erupts to the surface. They shape landscapes and influence climate. Monitoring helps mitigate hazards.'},Why is monitoring volcanoes important?,It helps mitigate hazards.,Why is monitoring volcanoes important?
{'text': 'Volcanoes form when magma from beneath the Earth’s crust erupts to the surface. They shape landscapes and influence climate. Monitoring helps mitigate hazards.'},What is the primary process that leads to a volcanic eruption?,The eruption of magma from beneath the Earth’s crust.,What is the primary process that leads to a volcanic eruption?
{'text': 'Volcanoes form when magma from beneath the Earth’s crust erupts to the surface. They shape landscapes and influence climate. Monitoring helps mitigate hazards.'},What are some of the impacts of volcanic activity on the environment?,They shape landscapes and influence climate.,What are some of the impacts of volcanic activity on the environment?
